Node_name,Lat,Lng
VJB,1.664,103.6608889
VKL,2.724444444,101.7380556
SAPAT,2.536111111,102.0416667
GUPTA,2.163333333,102.6416667
ENKOL,2.372777778,102.3044444
MASBO,2.046666667,102.8808333
SABKA,1.8475,103.2869444
BILIK,3.345277778,101.1275
TEPUS,4.170277778,100.7591667
WSSS,1.350188889,103.9940028
VTK,1.415277778,104.0222222
VJR,1.675,103.66
WMKK,2.745580556,101.71
VBU,3.153888889,113.0133333
VSI,2.246805556,112.0033889
VKG,1.47275,110.3119167
WBGB,3.12385,113.0199972
WBGG,1.4847,110.347
VMI,4.337777778,113.9941667
WBGR,4.322011111,113.987
WBGS,2.2616,111.985
BRU,4.875,114.8816667
VJN,5.89925,116.0339722
WBKK,5.937211111,116.0510028
KAMIN,2.578333333,108.9266667
KIBOL,2.873333333,104.4680556
VPT,2.910944444,104.101
SAROX,2.800555556,102.6719444
AGPOP,2.178055556,111.2236111
PILAX,2.313888889,111.3905556
SARVO,3.441666667,112.8361111
KADMO,4.204166667,114.1355556
AGDAB,1.641311111,103.6699972
AGOBA,1.978333333,108.5
SABIP,2.161111111,107.8455556
BOBOB,2.368333333,107.0994444
KETOD,3.178888889,104.1619444
PADLI,3.155,103.5258333
OBDAB,3.198055556,104.0938889
VPK,3.369166667,103.4233333
ISTAN,3.015277778,102.4813889
NIMIX,1.414444444,107.9905556
TOMAN,1.363055556,105.7880556
HOSBA,1.33,104.405
WMKJ,1.641311111,103.6699972
